crop ID,soil_type,Seedling Stage,MOI,temp,humidity,result
Wheat,Black Soil,Maturation,48,36,32.4,1
Chilli,Chalky Soil,Seedling Stage,17,44,38.5,1
Carrot,Sandy Soil,Germination,30,18,82.1,0
Wheat,Alluvial Soil,Maturation,64,31,53.0,1
Wheat,Alluvial Soil,Harvest,21,16,84.5,0
Chilli,Red Soil,Germination,62,18,77.3,0
Chilli,Loam Soil,Pollination,4,19,85.0,0
Wheat,Red Soil,Seedling Stage,94,30,60.3,0
Tomato,Loam Soil,Seedling Stage,18,16,89.2,0
Carrot,Red Soil,Vegetative Growth / Root or Tuber Development,14,45,33.7,0
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,37,25,85.6,0
Chilli,Red Soil,Vegetative Growth / Root or Tuber Development,25,33,91.0,0
Wheat,Red Soil,Maturation,94,34,67.4,0
Potato,Clay Soil,Pollination,21,42,27.3,1
Tomato,Red Soil,Pollination,33,16,91.0,0
Chilli,Chalky Soil,Seedling Stage,25,46,15.0,1
Chilli,Red Soil,Vegetative Growth / Root or Tuber Development,26,21,86.6,0
Carrot,Loam Soil,Pollination,78,34,71.1,0
Tomato,Red Soil,Pollination,3,22,81.7,0
Wheat,Black Soil,Flowering,28,16,88.3,0
Wheat,Black Soil,Seedling Stage,20,31,75.7,0
Carrot,Loam Soil,Vegetative Growth / Root or Tuber Development,7,16,83.8,0
Carrot,Clay Soil,Germination,64,31,79.7,0
Wheat,Alluvial Soil,Fruit/Grain/Bulb Formation,26,46,15.0,1
Wheat,Alluvial Soil,Pollination,99,34,52.6,0
Chilli,Black Soil,Vegetative Growth / Root or Tuber Development,13,16,90.8,0
Potato,Red Soil,Vegetative Growth / Root or Tuber Development,77,46,32.5,1
Wheat,Red Soil,Maturation,48,22,81.5,0
Carrot,Sandy Soil,Germination,50,38,39.9,1
Wheat,Red Soil,Seedling Stage,26,36,37.5,1
Wheat,Red Soil,Fruit/Grain/Bulb Formation,25,26,69.7,1
Carrot,Chalky Soil,Flowering,19,36,44.7,1
Carrot,Sandy Soil,Pollination,72,24,85.2,0
Potato,Loam Soil,Pollination,38,13,90.0,0
Chilli,Red Soil,Germination,40,13,91.0,0
Carrot,Sandy Soil,Vegetative Growth / Root or Tuber Development,20,17,87.7,0
Carrot,Black Soil,Seedling Stage,9,14,85.4,0
Chilli,Black Soil,Flowering,24,39,26.5,1
Tomato,Loam Soil,Seedling Stage,24,20,83.3,0
Potato,Clay Soil,Seedling Stage,13,36,30.9,1
Wheat,Clay Soil,Pollination,14,34,38.6,0
Wheat,Black Soil,Seedling Stage,27,36,49.2,1
Chilli,Sandy Soil,Vegetative Growth / Root or Tuber Development,58,37,36.0,1
Potato,Loam Soil,Seedling Stage,20,45,15.0,1
Chilli,Red Soil,Vegetative Growth / Root or Tuber Development,18,13,91.0,0
Tomato,Loam Soil,Seedling Stage,14,27,78.4,1
Wheat,Alluvial Soil,Vegetative Growth / Root or Tuber Development,13,39,25.2,1
Chilli,Chalky Soil,Seedling Stage,75,28,89.6,0
Chilli,Red Soil,Seedling Stage,47,29,72.9,1
Chilli,Sandy Soil,Seedling Stage,34,39,42.2,1
Chilli,Red Soil,Seedling Stage,16,14,91.0,0
Wheat,Sandy Soil,Seedling Stage,5,28,85.1,0
Tomato,Loam Soil,Seedling Stage,39,21,83.0,0
Potato,Loam Soil,Pollination,22,44,20.0,1
Carrot,Loam Soil,Flowering,17,21,83.8,0
Wheat,Red Soil,Fruit/Grain/Bulb Formation,37,14,91.0,0
Carrot,Loam Soil,Pollination,9,27,86.1,0
Tomato,Red Soil,Pollination,39,19,88.1,0
Chilli,Black Soil,Seedling Stage,6,44,16.8,1
Potato,Clay Soil,Pollination,24,17,88.0,0
Tomato,Clay Soil,Flowering,46,19,88.3,0
Chilli,Clay Soil,Seedling Stage,51,46,19.5,1
Wheat,Alluvial Soil,Harvest,25,43,15.0,1
Carrot,Clay Soil,Seedling Stage,42,37,46.7,1
Tomato,Loam Soil,Pollination,39,25,81.8,0
Carrot,Sandy Soil,Flowering,41,40,59.4,1
Tomato,Loam Soil,Seedling Stage,68,23,84.5,0
Wheat,Black Soil,Harvest,25,37,51.4,1
Wheat,Black Soil,Maturation,29,23,61.9,1
Wheat,Chalky Soil,Germination,74,22,84.3,0
Wheat,Alluvial Soil,Vegetative Growth / Root or Tuber Development,21,39,27.1,1
Carrot,Clay Soil,Vegetative Growth / Root or Tuber Development,17,37,63.5,1
Carrot,Clay Soil,Flowering,16,41,22.6,1
Wheat,Red Soil,Fruit/Grain/Bulb Formation,17,18,83.9,0
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,25,13,88.7,0
Carrot,Clay Soil,Pollination,95,28,71.8,0
Chilli,Red Soil,Vegetative Growth / Root or Tuber Development,98,39,75.1,0
Wheat,Black Soil,Pollination,62,41,15.5,1
Tomato,Loam Soil,Germination,82,30,77.3,0
Chilli,Sandy Soil,Harvest,20,43,15.8,1
Tomato,Loam Soil,Flowering,4,15,85.8,0
Chilli,Red Soil,Seedling Stage,31,20,83.0,0
Chilli,Clay Soil,Seedling Stage,28,19,87.5,0
Potato,Loam Soil,Seedling Stage,61,26,46.0,1
Carrot,Clay Soil,Flowering,38,46,26.8,1
Potato,Sandy Soil,Flowering,39,45,18.7,1
Wheat,Red Soil,Fruit/Grain/Bulb Formation,14,24,89.0,0
Carrot,Loam Soil,Germination,79,28,53.5,0
Wheat,Red Soil,Seedling Stage,20,13,87.0,0
Carrot,Clay Soil,Pollination,25,38,41.9,1
Carrot,Loam Soil,Pollination,11,18,88.7,0
Wheat,Alluvial Soil,Fruit/Grain/Bulb Formation,38,27,80.8,0
Chilli,Chalky Soil,Flowering,17,45,34.8,1
Wheat,Alluvial Soil,Pollination,33,29,70.3,0
Carrot,Loam Soil,Flowering,18,14,91.0,0
Chilli,Black Soil,Vegetative Growth / Root or Tuber Development,76,43,31.7,0
Carrot,Sandy Soil,Germination,14,43,15.0,1
Potato,Sandy Soil,Vegetative Growth / Root or Tuber Development,51,40,25.4,1
Potato,Clay Soil,Seedling Stage,17,18,87.9,0
Chilli,Sandy Soil,Vegetative Growth / Root or Tuber Development,76,36,38.2,1
Carrot,Loam Soil,Pollination,22,14,90.8,0
Potato,Clay Soil,Germination,4,44,16.5,1
Chilli,Sandy Soil,Seedling Stage,13,30,68.2,1
Chilli,Chalky Soil,Vegetative Growth / Root or Tuber Development,35,23,82.1,1
Wheat,Red Soil,Vegetative Growth / Root or Tuber Development,9,18,90.0,0
Carrot,Loam Soil,Flowering,54,32,34.6,1
Wheat,Alluvial Soil,Pollination,25,41,52.8,1
Tomato,Red Soil,Flowering,65,17,85.4,0
Carrot,Loam Soil,Flowering,14,37,60.1,0
Carrot,Loam Soil,Vegetative Growth / Root or Tuber Development,51,27,64.4,1
Potato,Sandy Soil,Seedling Stage,32,19,89.0,0
Wheat,Alluvial Soil,Fruit/Grain/Bulb Formation,29,21,84.0,0
Chilli,Black Soil,Seedling Stage,92,31,80.7,0
Chilli,Clay Soil,Seedling Stage,36,22,87.4,0
Carrot,Clay Soil,Flowering,66,29,59.7,1
Wheat,Sandy Soil,Maturation,98,26,67.4,0
Carrot,Clay Soil,Pollination,16,14,88.8,0
Carrot,Clay Soil,Germination,22,19,83.6,0
Chilli,Chalky Soil,Seedling Stage,15,19,87.6,1
Wheat,Alluvial Soil,Fruit/Grain/Bulb Formation,14,26,44.2,1
Chilli,Red Soil,Seedling Stage,39,27,70.7,1
Carrot,Sandy Soil,Seedling Stage,58,35,76.8,1
Wheat,Red Soil,Harvest,24,30,30.4,1
Wheat,Black Soil,Maturation,18,15,87.9,0
Carrot,Sandy Soil,Seedling Stage,15,32,43.0,1
Carrot,Loam Soil,Germination,78,37,52.5,0
Tomato,Red Soil,Germination,89,33,72.5,0
Carrot,Red Soil,Seedling Stage,9,15,91.0,0
Chilli,Black Soil,Seedling Stage,15,25,83.0,0
Chilli,Chalky Soil,Flowering,23,32,66.7,1
Wheat,Sandy Soil,Harvest,30,35,65.0,1
Wheat,Black Soil,Maturation,12,25,57.9,1
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,18,18,89.6,0
Tomato,Loam Soil,Vegetative Growth / Root or Tuber Development,27,30,67.8,0
Wheat,Clay Soil,Vegetative Growth / Root or Tuber Development,74,17,82.2,0
Carrot,Alluvial Soil,Flowering,23,25,79.1,1
Chilli,Chalky Soil,Vegetative Growth / Root or Tuber Development,47,24,78.2,1
Potato,Sandy Soil,Seedling Stage,29,27,85.5,0
Tomato,Clay Soil,Seedling Stage,7,20,83.5,0
Tomato,Red Soil,Vegetative Growth / Root or Tuber Development,25,14,90.2,0
Chilli,Red Soil,Germination,14,21,83.5,0
Chilli,Chalky Soil,Germination,76,21,86.7,0
Chilli,Black Soil,Flowering,21,14,91.0,0
Chilli,Sandy Soil,Seedling Stage,15,28,74.0,1
Carrot,Red Soil,Pollination,25,37,34.4,1
Tomato,Red Soil,Vegetative Growth / Root or Tuber Development,90,31,77.3,0
Chilli,Clay Soil,Vegetative Growth / Root or Tuber Development,16,33,27.0,1
Chilli,Chalky Soil,Germination,18,44,29.4,1
Carrot,Loam Soil,Vegetative Growth / Root or Tuber Development,42,29,73.0,1
Tomato,Loam Soil,Seedling Stage,15,14,89.9,0
Carrot,Chalky Soil,Flowering,90,30,56.9,0
Wheat,Sandy Soil,Pollination,33,42,15.0,1
Carrot,Loam Soil,Seedling Stage,89,26,82.6,0
Chilli,Red Soil,Vegetative Growth / Root or Tuber Development,13,19,88.8,0
Wheat,Black Soil,Pollination,26,37,42.2,1
Carrot,Clay Soil,Flowering,90,44,18.2,1
Carrot,Chalky Soil,Flowering,17,46,15.0,1
Wheat,Alluvial Soil,Maturation,90,37,52.8,0
Wheat,Sandy Soil,Maturation,34,13,91.0,0
Wheat,Black Soil,Harvest,96,34,65.3,0
Chilli,Black Soil,Flowering,22,25,82.3,0
Carrot,Clay Soil,Seedling Stage,32,19,90.9,0
Wheat,Red Soil,Vegetative Growth / Root or Tuber Development,72,34,37.5,0
Tomato,Clay Soil,Fruit/Grain/Bulb Formation,24,14,89.5,0
Carrot,Clay Soil,Germination,22,44,23.3,1
Potato,Clay Soil,Seedling Stage,21,25,81.2,1
Carrot,Red Soil,Germination,26,19,87.7,0
Chilli,Chalky Soil,Seedling Stage,46,43,36.2,1
Tomato,Red Soil,Seedling Stage,11,18,89.2,0
Wheat,Red Soil,Harvest,36,45,85.4,0
Wheat,Clay Soil,Seedling Stage,48,38,31.9,1
Carrot,Clay Soil,Pollination,33,44,26.2,1
Potato,Sandy Soil,Germination,44,15,88.6,0
Tomato,Loam Soil,Seedling Stage,89,28,69.8,0
Potato,Clay Soil,Pollination,94,30,73.4,0
Chilli,Clay Soil,Seedling Stage,46,37,53.8,1
Chilli,Sandy Soil,Flowering,18,28,78.4,1
Carrot,Red Soil,Vegetative Growth / Root or Tuber Development,48,39,22.7,1
Wheat,Black Soil,Fruit/Grain/Bulb Formation,47,24,56.7,1
Wheat,Alluvial Soil,Fruit/Grain/Bulb Formation,25,31,81.2,1
Chilli,Black Soil,Seedling Stage,12,15,91.0,0
Carrot,Sandy Soil,Vegetative Growth / Root or Tuber Development,63,45,23.7,1
Chilli,Chalky Soil,Seedling Stage,42,35,43.3,1
Wheat,Clay Soil,Flowering,21,13,91.0,0
Carrot,Sandy Soil,Germination,42,28,83.9,0
Potato,Clay Soil,Flowering,30,24,81.3,0
Chilli,Red Soil,Seedling Stage,69,29,80.8,0
Potato,Sandy Soil,Pollination,21,21,89.6,0
Tomato,Loam Soil,Germination,3,18,78.9,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,13,20,91.0,0
Wheat,Clay Soil,Maturation,23,19,82.2,0
Tomato,Red Soil,Vegetative Growth / Root or Tuber Development,19,18,86.2,0
Wheat,Clay Soil,Harvest,18,37,36.8,1
Wheat,Sandy Soil,Seedling Stage,3,37,73.1,1
Tomato,Clay Soil,Fruit/Grain/Bulb Formation,11,14,91.0,0
Tomato,Red Soil,Vegetative Growth / Root or Tuber Development,29,38,50.1,1
Chilli,Sandy Soil,Vegetative Growth / Root or Tuber Development,26,31,57.8,1
Chilli,Chalky Soil,Vegetative Growth / Root or Tuber Development,27,23,46.9,1
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,71,30,43.3,1
Wheat,Black Soil,Seedling Stage,10,44,18.2,1
Tomato,Loam Soil,Seedling Stage,28,14,89.0,0
Carrot,Sandy Soil,Flowering,28,23,80.8,0
Wheat,Alluvial Soil,Fruit/Grain/Bulb Formation,62,29,88.5,0
Chilli,Red Soil,Fruit/Grain/Bulb Formation,19,23,89.8,0
Wheat,Clay Soil,Harvest,20,37,65.9,1
Chilli,Chalky Soil,Seedling Stage,20,44,15.5,1
Wheat,Black Soil,Germination,18,15,83.4,0
Carrot,Clay Soil,Seedling Stage,3,19,88.4,0
Wheat,Clay Soil,Vegetative Growth / Root or Tuber Development,24,39,30.5,1
Tomato,Loam Soil,Flowering,70,20,81.2,0
Wheat,Alluvial Soil,Vegetative Growth / Root or Tuber Development,30,33,71.4,0
Wheat,Sandy Soil,Fruit/Grain/Bulb Formation,32,20,81.3,0
Wheat,Red Soil,Vegetative Growth / Root or Tuber Development,40,23,81.5,0
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,20,28,81.0,0
Wheat,Black Soil,Harvest,94,34,52.6,0
Potato,Loam Soil,Pollination,12,20,84.0,0
Wheat,Black Soil,Fruit/Grain/Bulb Formation,5,34,28.9,1
Tomato,Red Soil,Seedling Stage,24,19,81.2,0
Wheat,Sandy Soil,Germination,48,35,43.1,1
Carrot,Clay Soil,Seedling Stage,68,23,85.0,0
Wheat,Black Soil,Seedling Stage,29,14,90.9,0
Tomato,Clay Soil,Pollination,30,13,86.9,0
Carrot,Clay Soil,Flowering,26,21,85.6,0
Wheat,Sandy Soil,Fruit/Grain/Bulb Formation,24,37,24.3,1
Carrot,Sandy Soil,Seedling Stage,38,20,89.3,0
Wheat,Clay Soil,Maturation,44,37,88.1,0
Tomato,Loam Soil,Flowering,73,25,82.7,0
Wheat,Chalky Soil,Vegetative Growth / Root or Tuber Development,64,44,27.0,0
Wheat,Alluvial Soil,Fruit/Grain/Bulb Formation,14,27,82.8,0
Chilli,Red Soil,Fruit/Grain/Bulb Formation,46,14,91.0,0
Tomato,Loam Soil,Seedling Stage,76,23,73.8,0
Wheat,Black Soil,Fruit/Grain/Bulb Formation,9,20,90.4,0
Carrot,Loam Soil,Germination,25,30,60.5,1
Carrot,Loam Soil,Pollination,91,25,75.3,0
Carrot,Sandy Soil,Pollination,46,28,79.7,0
Wheat,Chalky Soil,Germination,32,13,89.5,0
Carrot,Clay Soil,Flowering,25,38,29.4,1
Chilli,Chalky Soil,Vegetative Growth / Root or Tuber Development,52,37,50.0,1
Tomato,Loam Soil,Flowering,86,26,39.2,1
Potato,Clay Soil,Pollination,13,28,31.0,1
Carrot,Sandy Soil,Seedling Stage,33,13,91.0,0
Chilli,Loam Soil,Germination,32,29,66.4,1
Wheat,Clay Soil,Germination,64,29,33.6,1
Wheat,Alluvial Soil,Harvest,8,41,32.1,1
Chilli,Red Soil,Germination,2,21,87.1,1
Wheat,Alluvial Soil,Maturation,20,18,79.5,0
Potato,Loam Soil,Seedling Stage,5,19,83.0,0
Wheat,Alluvial Soil,Pollination,18,15,87.0,0
Potato,Clay Soil,Seedling Stage,18,17,83.6,0
Wheat,Clay Soil,Pollination,4,26,78.4,1
Wheat,Red Soil,Pollination,100,31,71.4,0
Chilli,Red Soil,Germination,12,13,89.0,0
Wheat,Red Soil,Harvest,44,16,84.6,0
Carrot,Sandy Soil,Pollination,48,36,50.7,1
Chilli,Black Soil,Seedling Stage,32,39,20.4,1
Wheat,Black Soil,Pollination,62,40,30.9,1
Carrot,Loam Soil,Seedling Stage,82,31,65.7,1
Wheat,Red Soil,Pollination,33,24,84.1,0
Tomato,Clay Soil,Pollination,86,32,43.3,1
Chilli,Red Soil,Seedling Stage,19,23,85.2,0
Chilli,Red Soil,Vegetative Growth / Root or Tuber Development,47,28,62.8,1
Carrot,Sandy Soil,Seedling Stage,28,17,84.4,0
Potato,Sandy Soil,Seedling Stage,6,35,41.7,1
Tomato,Red Soil,Vegetative Growth / Root or Tuber Development,4,14,90.6,0
Carrot,Loam Soil,Germination,78,27,82.5,1
Wheat,Red Soil,Pollination,25,16,84.2,0
Chilli,Sandy Soil,Vegetative Growth / Root or Tuber Development,6,23,37.3,1
Chilli,Red Soil,Germination,44,18,90.3,0
Carrot,Sandy Soil,Seedling Stage,79,25,84.0,0
Tomato,Loam Soil,Seedling Stage,7,17,88.5,0
Potato,Clay Soil,Pollination,58,28,79.2,0
Potato,Clay Soil,Seedling Stage,28,17,75.7,0
