crop ID,soil_type,Seedling Stage,MOI,temp,humidity,result
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,57,33,62.9,1
Carrot,Clay Soil,Germination,44,44,45.7,1
Chilli,Chalky Soil,Seedling Stage,23,21,82.1,0
Tomato,Loam Soil,Germination,25,19,79.0,0
Wheat,Sandy Soil,Maturation,54,34,45.8,0
Tomato,Sandy Soil,Flowering,70,26,81.2,0
Tomato,Sandy Soil,Flowering,48,35,28.8,1
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,54,37,52.0,0
Wheat,Alluvial Soil,Maturation,54,22,82.2,0
Chilli,Red Soil,Seedling Stage,36,30,64.7,1
Chilli,Chalky Soil,Germination,31,43,34.6,1
Wheat,Clay Soil,Maturation,74,32,60.9,0
Potato,Clay Soil,Seedling Stage,11,15,81.6,0
Wheat,Red Soil,Germination,27,32,61.7,1
Chilli,Chalky Soil,Vegetative Growth / Root or Tuber Development,58,29,65.0,0
Tomato,Sandy Soil,Flowering,36,37,44.7,1
Chilli,Chalky Soil,Germination,24,27,64.4,1
Potato,Clay Soil,Germination,53,44,43.0,1
Wheat,Red Soil,Flowering,31,28,73.4,1
Chilli,Sandy Soil,Vegetative Growth / Root or Tuber Development,28,32,54.5,1
Carrot,Clay Soil,Germination,17,36,53.6,1
Carrot,Clay Soil,Germination,45,27,71.1,1
Wheat,Clay Soil,Harvest,65,32,56.4,0
Chilli,Chalky Soil,Vegetative Growth / Root or Tuber Development,52,37,47.2,1
Wheat,Sandy Soil,Germination,66,45,42.6,0
Tomato,Loam Soil,Germination,62,30,64.6,1
Carrot,Clay Soil,Germination,63,28,73.0,1
Carrot,Loam Soil,Germination,50,20,85.0,0
Wheat,Sandy Soil,Pollination,38,30,61.9,1
Wheat,Red Soil,Seedling Stage,24,22,78.2,0
Carrot,Clay Soil,Seedling Stage,9,25,86.3,0
Carrot,Clay Soil,Pollination,17,20,84.8,0
Carrot,Clay Soil,Germination,44,38,30.0,1
Wheat,Sandy Soil,Germination,32,33,59.9,1
Carrot,Clay Soil,Germination,64,23,83.1,0
Chilli,Chalky Soil,Seedling Stage,38,22,85.6,0
Chilli,Chalky Soil,Flowering,52,16,81.5,0
Tomato,Loam Soil,Germination,47,40,25.4,1
Tomato,Sandy Soil,Flowering,25,36,30.4,1
Carrot,Loam Soil,Germination,56,23,80.7,0
Chilli,Sandy Soil,Seedling Stage,10,19,85.2,0
Carrot,Clay Soil,Pollination,26,27,71.1,1
Carrot,Clay Soil,Germination,51,33,50.9,1
Potato,Clay Soil,Pollination,54,35,51.8,1
Carrot,Clay Soil,Pollination,17,23,78.7,0
Chilli,Chalky Soil,Seedling Stage,8,30,66.8,1
Wheat,Sandy Soil,Maturation,17,38,37.4,1
Chilli,Chalky Soil,Germination,28,28,68.5,1
Wheat,Black Soil,Flowering,51,26,74.4,0
Potato,Clay Soil,Seedling Stage,27,22,83.1,0
Potato,Clay Soil,Pollination,19,30,65.4,1
Tomato,Sandy Soil,Flowering,33,37,33.3,1
Wheat,Alluvial Soil,Fruit/Grain/Bulb Formation,54,38,42.6,1
Wheat,Alluvial Soil,Maturation,18,39,39.3,1
Chilli,Black Soil,Flowering,55,22,83.0,0
Wheat,Clay Soil,Maturation,55,30,66.0,1
Tomato,Loam Soil,Germination,51,38,39.6,1
Tomato,Sandy Soil,Seedling Stage,15,16,82.0,0
Wheat,Clay Soil,Maturation,37,24,77.8,0
Chilli,Red Soil,Germination,25,37,54.1,1
Tomato,Sandy Soil,Seedling Stage,27,23,78.8,0
Wheat,Sandy Soil,Pollination,11,38,29.9,1
Chilli,Red Soil,Seedling Stage,16,38,39.5,1
Chilli,Chalky Soil,Seedling Stage,26,23,82.4,0
Tomato,Sandy Soil,Germination,72,43,55.8,1
Carrot,Loam Soil,Flowering,11,39,36.6,1
Carrot,Clay Soil,Pollination,54,37,37.9,1
Tomato,Sandy Soil,Flowering,67,20,84.9,0
Chilli,Sandy Soil,Vegetative Growth / Root or Tuber Development,68,37,42.5,0
Chilli,Red Soil,Seedling Stage,53,28,66.1,1
Tomato,Sandy Soil,Germination,39,33,56.1,1
Carrot,Sandy Soil,Flowering,13,35,62.6,1
Potato,Clay Soil,Pollination,15,25,77.5,1
Chilli,Chalky Soil,Flowering,21,38,39.1,1
Wheat,Clay Soil,Flowering,14,22,83.5,0
Chilli,Red Soil,Seedling Stage,18,28,74.2,1
Wheat,Sandy Soil,Pollination,32,33,58.8,1
Wheat,Black Soil,Flowering,9,42,49.1,1
Chilli,Sandy Soil,Flowering,25,21,80.5,0
Tomato,Loam Soil,Germination,16,18,81.1,0
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,11,40,52.0,1
Chilli,Chalky Soil,Flowering,23,39,38.1,1
Carrot,Loam Soil,Germination,31,38,44.3,1
Chilli,Sandy Soil,Flowering,42,38,30.8,1
Potato,Loam Soil,Germination,44,42,36.7,1
Wheat,Alluvial Soil,Pollination,24,22,81.6,0
Wheat,Black Soil,Flowering,60,40,30.0,0
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,67,31,64.5,0
Tomato,Sandy Soil,Flowering,50,23,82.7,0
Potato,Loam Soil,Germination,68,25,82.3,0
Tomato,Sandy Soil,Germination,15,33,62.5,1
Chilli,Chalky Soil,Germination,35,23,80.1,0
Chilli,Sandy Soil,Flowering,11,39,56.2,1
Wheat,Black Soil,Seedling Stage,25,29,71.4,1
Wheat,Sandy Soil,Maturation,38,21,85.2,0
Wheat,Black Soil,Germination,18,24,79.2,0
Potato,Loam Soil,Germination,59,24,76.6,0
Wheat,Clay Soil,Maturation,56,21,78.9,0
Wheat,Black Soil,Seedling Stage,16,29,76.2,1
Chilli,Chalky Soil,Seedling Stage,8,21,83.1,0
Chilli,Red Soil,Flowering,38,21,81.7,0
Chilli,Black Soil,Seedling Stage,17,23,82.1,0
Chilli,Chalky Soil,Vegetative Growth / Root or Tuber Development,23,42,49.5,1
