dataset,model,accuracy,f1,fractions,n_sample,augmentation,fraction
real_5pct,Logistic Regression,0.6829,0.6548,0.05,820,none,
real_5pct,Random Forest,0.7256,0.7072,0.05,820,none,
real_5pct,k-NN,0.6829,0.6524,0.05,820,none,
real_5pct,SVC,0.75,0.7254,0.05,820,none,
ctgan_5pct,Logistic Regression,0.561,0.5266,,820,ctgan,0.05
ctgan_5pct,Random Forest,0.5732,0.5592,,820,ctgan,0.05
ctgan_5pct,k-NN,0.5366,0.507,,820,ctgan,0.05
ctgan_5pct,SVC,0.5579,0.5309,,820,ctgan,0.05
tvae_5pct,Logistic Regression,0.7835,0.7692,,820,tvae,0.05
tvae_5pct,Random Forest,0.8201,0.8165,,820,tvae,0.05
tvae_5pct,k-NN,0.7927,0.7786,,820,tvae,0.05
tvae_5pct,SVC,0.8201,0.8073,,820,tvae,0.05
copula_5pct,Logistic Regression,0.6067,0.574,,820,copula,0.05
copula_5pct,Random Forest,0.5854,0.5666,,820,copula,0.05
copula_5pct,k-NN,0.5671,0.5446,,820,copula,0.05
copula_5pct,SVC,0.5945,0.5658,,820,copula,0.05
real_10pct,Logistic Regression,0.7204,0.6957,0.1,1641,none,
real_10pct,Random Forest,0.7052,0.6985,0.1,1641,none,
real_10pct,k-NN,0.6809,0.6537,0.1,1641,none,
real_10pct,SVC,0.7356,0.7127,0.1,1641,none,
ctgan_10pct,Logistic Regression,0.6423,0.6118,,1641,ctgan,0.1
ctgan_10pct,Random Forest,0.6271,0.61,,1641,ctgan,0.1
ctgan_10pct,k-NN,0.621,0.5939,,1641,ctgan,0.1
ctgan_10pct,SVC,0.6682,0.6356,,1641,ctgan,0.1
tvae_10pct,Logistic Regression,0.7489,0.734,,1641,tvae,0.1
tvae_10pct,Random Forest,0.7565,0.7523,,1641,tvae,0.1
tvae_10pct,k-NN,0.7458,0.7338,,1641,tvae,0.1
tvae_10pct,SVC,0.7945,0.7823,,1641,tvae,0.1
copula_10pct,Logistic Regression,0.5753,0.551,,1641,copula,0.1
copula_10pct,Random Forest,0.5677,0.5573,,1641,copula,0.1
copula_10pct,k-NN,0.5982,0.5753,,1641,copula,0.1
copula_10pct,SVC,0.624,0.6034,,1641,copula,0.1
real_20pct,Logistic Regression,0.7199,0.6987,0.2,3282,none,
real_20pct,Random Forest,0.7062,0.6962,0.2,3282,none,
real_20pct,k-NN,0.7078,0.6835,0.2,3282,none,
real_20pct,SVC,0.7412,0.7206,0.2,3282,none,
ctgan_20pct,Logistic Regression,0.7053,0.6727,,3282,ctgan,0.2
ctgan_20pct,Random Forest,0.6847,0.6771,,3282,ctgan,0.2
ctgan_20pct,k-NN,0.706,0.6848,,3282,ctgan,0.2
ctgan_20pct,SVC,0.7319,0.702,,3282,ctgan,0.2
tvae_20pct,Logistic Regression,0.7768,0.7636,,3282,tvae,0.2
tvae_20pct,Random Forest,0.7639,0.7636,,3282,tvae,0.2
tvae_20pct,k-NN,0.786,0.7759,,3282,tvae,0.2
tvae_20pct,SVC,0.8187,0.8069,,3282,tvae,0.2
copula_20pct,Logistic Regression,0.5994,0.5704,,3282,copula,0.2
copula_20pct,Random Forest,0.5941,0.5817,,3282,copula,0.2
copula_20pct,k-NN,0.6192,0.5981,,3282,copula,0.2
copula_20pct,SVC,0.6299,0.6075,,3282,copula,0.2
real_30pct,Logistic Regression,0.7299,0.7087,0.3,4923,none,
real_30pct,Random Forest,0.6924,0.6874,0.3,4923,none,
real_30pct,k-NN,0.736,0.714,0.3,4923,none,
real_30pct,SVC,0.7675,0.7463,0.3,4923,none,
ctgan_30pct,Logistic Regression,0.7046,0.672,,4923,ctgan,0.3
ctgan_30pct,Random Forest,0.702,0.6926,,4923,ctgan,0.3
ctgan_30pct,k-NN,0.7162,0.6952,,4923,ctgan,0.3
ctgan_30pct,SVC,0.7492,0.7212,,4923,ctgan,0.3
tvae_30pct,Logistic Regression,0.7218,0.7074,,4923,tvae,0.3
tvae_30pct,Random Forest,0.7254,0.7239,,4923,tvae,0.3
tvae_30pct,k-NN,0.7442,0.7323,,4923,tvae,0.3
tvae_30pct,SVC,0.7817,0.7688,,4923,tvae,0.3
copula_30pct,Logistic Regression,0.6056,0.5788,,4923,copula,0.3
copula_30pct,Random Forest,0.5812,0.5737,,4923,copula,0.3
copula_30pct,k-NN,0.6218,0.6005,,4923,copula,0.3
copula_30pct,SVC,0.6437,0.6222,,4923,copula,0.3
real_40pct,Logistic Regression,0.7304,0.7088,0.4,6564,none,
real_40pct,Random Forest,0.6717,0.6694,0.4,6564,none,
real_40pct,k-NN,0.7334,0.7181,0.4,6564,none,
real_40pct,SVC,0.7715,0.7503,0.4,6564,none,
ctgan_40pct,Logistic Regression,0.6797,0.6471,,6564,ctgan,0.4
ctgan_40pct,Random Forest,0.6866,0.6831,,6564,ctgan,0.4
ctgan_40pct,k-NN,0.6969,0.6837,,6564,ctgan,0.4
ctgan_40pct,SVC,0.7365,0.7239,,6564,ctgan,0.4
tvae_40pct,Logistic Regression,0.7304,0.7188,,6564,tvae,0.4
tvae_40pct,Random Forest,0.7224,0.7199,,6564,tvae,0.4
tvae_40pct,k-NN,0.7532,0.745,,6564,tvae,0.4
tvae_40pct,SVC,0.7833,0.7726,,6564,tvae,0.4
copula_40pct,Logistic Regression,0.6062,0.5808,,6564,copula,0.4
copula_40pct,Random Forest,0.5922,0.5818,,6564,copula,0.4
copula_40pct,k-NN,0.6062,0.5861,,6564,copula,0.4
copula_40pct,SVC,0.6432,0.6216,,6564,copula,0.4
real_50pct,Logistic Regression,0.7337,0.7106,0.5,8205,none,
real_50pct,Random Forest,0.6661,0.6615,0.5,8205,none,
real_50pct,k-NN,0.7148,0.694,0.5,8205,none,
real_50pct,SVC,0.7648,0.742,0.5,8205,none,
ctgan_50pct,Logistic Regression,0.6709,0.6409,,8205,ctgan,0.5
ctgan_50pct,Random Forest,0.6743,0.6714,,8205,ctgan,0.5
ctgan_50pct,k-NN,0.7087,0.6952,,8205,ctgan,0.5
ctgan_50pct,SVC,0.7288,0.7162,,8205,ctgan,0.5
tvae_50pct,Logistic Regression,0.7087,0.6855,,8205,tvae,0.5
tvae_50pct,Random Forest,0.6913,0.6901,,8205,tvae,0.5
tvae_50pct,k-NN,0.7136,0.6959,,8205,tvae,0.5
tvae_50pct,SVC,0.7617,0.7391,,8205,tvae,0.5
copula_50pct,Logistic Regression,0.6115,0.5864,,8205,copula,0.5
copula_50pct,Random Forest,0.5908,0.5796,,8205,copula,0.5
copula_50pct,k-NN,0.6146,0.5936,,8205,copula,0.5
copula_50pct,SVC,0.6395,0.6191,,8205,copula,0.5
real_60pct,Logistic Regression,0.7345,0.7123,0.6,9846,none,
real_60pct,Random Forest,0.6533,0.653,0.6,9846,none,
real_60pct,k-NN,0.7203,0.7019,0.6,9846,none,
real_60pct,SVC,0.7619,0.7398,0.6,9846,none,
